id,code,short_name,full_name,list_status_id,list_status,issuer,company_code,exchange_code,exchange,currency_id,coupon_type_id,coupon_type,coupon_frequency,payment_type_id,payment_type,par,repayment_period,bond_type_id,bond_type,bond_form_id,bond_form,list_date,delist_Date,interest_begin_date,maturity_date,interest_date,last_cash_date,cash_comment,maturity
18394,0901001,09央行票据01,2009年第一期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-01-09,2009-04-07,2009-01-09,2009-04-10,,2009-04-10,,91 days
18412,0901002,09央行票据02,2009年第二期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-01-23,2009-04-21,2009-01-23,2009-04-24,,2009-04-24,,91 days
18419,0901003,09央行票据03,2009年第三期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-02-06,2009-05-05,2009-02-06,2009-05-08,,2009-05-08,,91 days
18430,0901004,09央行票据04,2009年第四期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-02-13,2009-05-12,2009-02-13,2009-05-15,,2009-05-15,,91 days
18438,0901005,09央行票据05,2009年中国人民银行第五期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-02-20,2009-05-19,2009-02-20,2009-05-22,,2009-05-22,,91 days
18452,0901006,09央行票据06,2009年第六期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-02-27,2009-05-26,2009-02-27,2009-05-29,,2009-05-29,,91 days
18475,0901007,09央行票据07,2009年第七期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-03-06,2009-06-02,2009-03-06,2009-06-05,,2009-06-05,,91 days
18484,0901008,09央行票据08,2009年第八期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-03-13,2009-06-09,2009-03-13,2009-06-12,,2009-06-12,,91 days
18498,0901009,09央行票据09,2009年第九期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-03-20,2009-06-16,2009-03-20,2009-06-19,,2009-06-19,,91 days
18639,0901014,09央行票据14,2009年第十四期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-04-24,2009-07-21,2009-04-24,2009-07-24,,2009-07-24,,91 days
18687,0901016,09央行票据16,2009年第十六期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-05-08,2009-08-04,2009-05-08,2009-08-07,,2009-08-07,,91 days
18725,0901017,09央行票据17,2009年第十七期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-05-15,2009-08-11,2009-05-15,2009-08-14,,2009-08-14,,91 days
18752,0901018,09央行票据18,2009年第十八期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-05-22,2009-08-18,2009-05-22,2009-08-21,,2009-08-21,,91 days
18811,0901019,09央行票据19,2009年第十九期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-06-05,2009-09-01,2009-06-05,2009-09-04,,2009-09-04,,91 days
18851,0901020,09央行票据20,2009年第二十期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-06-12,2009-09-08,2009-06-12,2009-09-11,,2009-09-11,,91 days
18869,0901021,09央行票据21,2009年第二十一期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-06-19,2009-09-15,2009-06-19,2009-09-18,,2009-09-18,,91 days
18903,0901022,09央行票据22,2009年第二十二期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2009-06-26,2009-09-22,2009-06-26,2009-09-25,,2009-09-25,,91 days
18927,0901023,09央行票据23,2009年第二十三期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,2,703019,央行票据,704001,记账式,2009-07-03,2009-09-27,2009-07-03,2009-09-30,,2009-09-30,,89 days
27782,0401005,04央行票据5,2004年第五期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2004-01-29,2004-04-11,2004-01-21,2004-04-21,,2004-04-21,,91 days
27783,030102,03央行票据02,2003年第二期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-05-06,2003-07-20,2003-04-30,2003-07-30,,2003-07-30,,91 days
27784,030103,03央行票据03,2003年第三期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-05-08,2003-07-28,2003-05-07,2003-08-07,,2003-08-07,,92 days
27786,030104,03央行票据04,2003年第四期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-05-15,2003-08-04,2003-05-14,2003-08-14,,2003-08-14,,92 days
27788,030108,03央行票据08,2003年第八期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-05-29,2003-08-18,2003-05-28,2003-08-28,,2003-08-28,,92 days
27789,030106,03央行票据06,2003年第六期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-05-22,2003-08-11,2003-05-21,2003-08-21,,2003-08-21,,92 days
27791,030110,03央行票据10,2003年第十期央行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2003-06-05,2003-08-25,2003-06-04,2003-09-04,,2003-09-04,,92 days
